Output entailing various statistics of columns in both STARD and CANBIND overlapping matrices to compare and find bugs,
,CANBIND,STARD,
:::imput_anyanxiety,
Mean, 0.5, 0.1515631183221211,
Median, 0.5, 0.0,
Mode, 0.0, 0.0,
Min, 0.0, 0.0,
Max, 1.0, 1.0,
AGE:::interview_age,
Mean, 35.44444444444444, 40.87913851523552,
Median, 32.0, 40.535446,
Mode, 21.0, 26.557706,
Min, 18, 17.842174,
Max, 61, 74.41091,
EDUC:::dm01_enroll__educat,
Mean, 13.744444444444444, 13.74396517609814,
Median, 14.0, 14.0,
Mode, 12.0, 12.0,
Min, 8, 0.0,
Max, 20, 26.0,
EMPLOY_STATUS_1.0:::dm01_enroll__empl||3.0,
Mean, 0.6777777777777778, 0.5835312747426762,
Median, 1.0, 1.0,
Mode, 1.0, 1.0,
Min, 0, 0.0,
Max, 1, 1.0,
EMPLOY_STATUS_2.0:::dm01_enroll__empl||1.0,
Mean, 0.08888888888888889, 0.45389790265136526,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
EMPLOY_STATUS_5.0:::dm01_enroll__empl||2.0,
Mean, 0.1388888888888889, 0.12425801345468936,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
EMPLOY_STATUS_7.0:::dm01_enroll__empl||6.0,
Mean, 0.011111111111111112, 0.043134151167392165,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
HSHLD_INCOME:::dm01_w0__totincom,
Mean, 3.7555555555555555, 2.84804115552038,
Median, 4.0, 3.0,
Mode, 4.0, 1.0,
Min, 1, 1.0,
Max, 8, 8.0,
LAM_2_baseline:::wpai01__wpai_totalhrs,
Mean, 31.48611111111111, 39.46022952117135,
Median, 20.0, 30.0,
Mode, 0.0, 0.0,
Min, 0.0, 0.0,
Max, 150.0, 180.0,
LAM_3_baseline:::wpai01__wpai02,
Mean, 5.5152777777777775, 7.49980213692125,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0.0, 0.0,
Max, 80.0, 160.0,
MINI_AGRPHOBIA_TIME:::phx01__pd_ag,
Mean, 0.11666666666666667, 0.018599129402453504,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MINI_ALCHL_ABUSE_TIME:::phx01__alcoh||1.0,
Mean, 0.03333333333333333, 0.05263157894736842,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MINI_AN_BINGE_TIME:::phx01__anorexia,
Mean, 0.0, 0.0003957261574990107,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 0, 1.0,
MINI_APD_TIME:::phx01__pd_antis,
Mean, 0.011111111111111112, 0.0019786307874950534,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
